source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,tmass_designation,j_m,h_m,ks_m,ph_qual
605014317658598656,132.63471980640932,12.254791937312481,1.4966387937015626,5.898972284186477,-9.155527232885738,13.895888328552246,0.8025903701782227,08503233+1215175,12.857999801635742,12.545000076293945,12.472999572753906,AAA
605048844899585152,133.4900893784005,12.262759736287878,1.123562286016558,-10.90823972872985,-3.0848129615404227,13.388559341430664,0.7366666793823242,08535764+1215459,12.434000015258789,12.199999809265137,12.156999588012695,AAA
605022525341141632,132.92163609341358,12.40909328057823,1.1368382183664567,-10.931328583118791,-3.0910867080908515,13.699180603027344,0.7537393569946289,08514120+1224326,12.73900032043457,12.454999923706055,12.402999877929688,AAA
608024574336601088,132.60327188698764,12.468872733521845,3.00779455216706,-15.455535157991939,-25.242693684536505,13.270076751708984,0.9825077056884766,08502481+1228084,12.022000312805176,11.614999771118164,11.545999526977539,AAA
605025205400732672,132.96045571516586,12.498058928582141,1.2747386425414373,5.276182004101293,-11.768906651055099,12.168302536010742,0.7445220947265625,08515050+1229531,11.182999610900879,10.934000015258789,10.883999824523926,AAA
598655154720022272,132.54807640845374,10.922993380307103,1.0076974887012726,-0.6838565052269718,-12.459685101720845,13.847546577453613,0.8437080383300781,08501153+1055230,12.774999618530273,12.430000305175781,12.335000038146973,AAA
598672540747538688,133.0579384967199,11.04608019962828,1.9117226033943413,-7.997229019163996,-9.233885151440955,12.360398292541504,0.7996616363525391,08521392+1102459,11.378999710083008,11.081999778747559,11.055000305175781,AAA
604630274567449344,133.33708023026858,11.048028423981611,1.7009260305808056,2.4943051772509643,-6.640624875869139,12.446574211120605,0.7734718322753906,08532089+1102529,11.446000099182129,11.201000213623047,11.163000106811523,AAA
604628011119732992,133.42060461035265,11.096483508990051,1.6534502386279208,-5.965541710896494,1.8049083214916708,13.950993537902832,0.9425163269042969,08534095+1105473,12.758999824523926,12.413000106811523,12.288000106811523,AAA
598676109865154048,133.00186117618847,11.106422961355374,1.7745923007458855,0.20563463362833168,-12.511918438730033,13.1078519821167,0.8445262908935547,08520044+1106232,11.96500015258789,11.67199993133545,11.616000175476074,AAA
598852070380683008,132.31002876826787,11.115500871615628,3.5440322279992276,-30.506741198171603,-28.647719894393596,13.946111679077148,1.2967748641967773,08491444+1106562,12.357000350952148,11.77299976348877,11.668000221252441,AAA
598873953238690816,132.59679964131146,11.188649002594047,,,,12.460589408874512,0.7934598922729492,08502324+1111191,11.456999778747559,11.175000190734863,11.116000175476074,AAA
598868837933020800,132.1098890419998,11.21038994269442,0.2908158321570319,-4.62552988014072,-1.1231052013112333,13.510285377502441,1.3711433410644531,08482637+1112374,11.788999557495117,11.206999778747559,11.053999900817871,AAA
598878424301097728,132.46752725230934,11.252172498075687,1.2277082016038856,-1.0906063011573135,3.133676102971274,12.85918140411377,1.1022882461547852,08495220+1115078,11.456000328063965,11.003000259399414,10.890000343322754,AAA
604640930381330304,133.5220024202339,11.309340644574915,1.4654320640882665,-5.053156353813947,-12.684789071425099,13.99217700958252,0.8142004013061523,08540528+1118338,12.975000381469727,12.656999588012695,12.574999809265137,AAA
604638903156749312,133.68179949455936,11.310921171717164,0.976236618593454,-8.345356880465534,-15.862972378877249,10.829148292541504,1.2983789443969727,08544364+1118396,9.182000160217285,8.630000114440918,8.508999824523926,AAA
598884334174935296,132.83279493282666,11.367933312612767,2.9998805498955434,15.671242949889665,-31.357486788566444,9.965689659118652,1.1147232055664062,08511984+1122051,8.513999938964844,8.053999900817871,7.98199987411499,AAA
598919174949611520,131.97785331158246,11.380939730217214,1.0420750987482168,-5.221280423364519,-7.921363284730681,13.980419158935547,0.7670974731445312,08475468+1122515,12.986000061035156,12.675000190734863,12.673999786376953,AAA
